01141-040, Várzea da Barra Funda, São Paulo, SP
01235-010, Pacaembu, São Paulo, SP
03306-000, Cidade Mãe do Céu, São Paulo, SP
03449-050, Vila Carrão, São Paulo, SP
03475-150, Vila Antonieta, São Paulo, SP
04001-140, Paraíso, São Paulo, SP
04840-180, Conjunto Habitacional Brigadeiro Faria Lima, São Paulo, SP
04840-210, Conjunto Habitacional Brigadeiro Faria Lima, São Paulo, SP
05073-010, Lapa, São Paulo, SP
05230-000, Perus, São Paulo, SP
05240-005, Chácara Jaraguá, São Paulo, SP
06162-350, Padroeira, Osasco, SP
06226-382, Rochdale, Osasco, SP
06333-390, Vila Dirce, Carapicuíba, SP
06343-520, Vila Dirce, Carapicuíba, SP
06363-480, Jardim Lice, Carapicuíba, SP
06385-670, Jardim Ângela Maria, Carapicuíba, SP
06396-300, Cidade Ariston Estela Azevedo, Carapicuíba, SP
06445-010, Jardim Maria Helena, Barueri, SP
06447-210, Jardim Paulista, Barueri, SP
06458-090, Residencial Tamboré, Barueri, SP
06458-100, Residencial Tamboré, Barueri, SP
06542-085, Alphaville, Santana de Parnaíba, SP
06712-465, Chácara Progresso, Cotia, SP
06716-230, Jardim Barro Branco, Cotia, SP
06755-405, Parque Residencial Mônica, Taboão da Serra, SP
06780-220, Vila Iasi, Taboão da Serra, SP
06780-260, Arraial Paulista, Taboão da Serra, SP
06824-010, Jardim Ângela, Embu das Artes, SP
07022-100, Vila Moreira, Guarulhos, SP
07131-070, Jardim São Paulo, Guarulhos, SP
07132-100, Jardim Uirapuru, Guarulhos, SP
07140-360, Jardim Marilena, Guarulhos, SP
07161-040, Jardim IV Centenário, Guarulhos, SP
07713-005, Serpa, Caieiras, SP
07713-170, Serpa, Caieiras, SP
07768-345, Ponunduva, Cajamar, SP
07786-550, Altos de Jordanésia (Jordanésia), Cajamar, SP
07786-870, Altos de Jordanésia (Jordanésia), Cajamar, SP
07793-210, Jardins (Polvilho), Cajamar, SP
07802-010, Companhia Fazenda Belém, Franco da Rocha, SP
07868-040, Portal da Estação, Franco da Rocha, SP
07868-060, Portal da Estação, Franco da Rocha, SP
07868-070, Portal da Estação, Franco da Rocha, SP
07903-030, Vila Maria Luiza, Francisco Morato, SP
07903-135, Vila Suiça, Francisco Morato, SP
07904-040, Parque Paulista, Francisco Morato, SP
08080-560, Parque Paulistano, São Paulo, SP
08472-760, Conjunto Habitacional Inácio Monteiro, São Paulo, SP
08560-600, Vila Arquimedes, Poá, SP
08570-750, Jardim Santa Helena, Itaquaquecetuba, SP
08577-320, Vila Monte Belo, Itaquaquecetuba, SP
08577-660, Jardim do Carmo, Itaquaquecetuba, SP
08589-230, Jardim Pinheirinho, Itaquaquecetuba, SP
08745-000, Vila Jundiaí, Mogi das Cruzes, SP
08745-010, Vila Jundiaí, Mogi das Cruzes, SP
08745-020, Vila Jundiaí, Mogi das Cruzes, SP
08745-030, Vila Jundiaí, Mogi das Cruzes, SP
08745-040, Vila Jundiaí, Mogi das Cruzes, SP
08745-060, Vila Jundiaí, Mogi das Cruzes, SP
08745-080, Vila Jundiaí, Mogi das Cruzes, SP
08745-090, Vila Jundiaí, Mogi das Cruzes, SP
08745-320, Vila Jundiaí, Mogi das Cruzes, SP
08745-330, Vila Jundiaí, Mogi das Cruzes, SP
08745-340, Vila Jundiaí, Mogi das Cruzes, SP
08745-350, Vila Jundiaí, Mogi das Cruzes, SP
08745-360, Vila Jundiaí, Mogi das Cruzes, SP
08745-380, Vila Jundiaí, Mogi das Cruzes, SP
08745-390, Vila Jundiaí, Mogi das Cruzes, SP
08745-400, Vila Jundiaí, Mogi das Cruzes, SP
08745-410, Vila Jundiaí, Mogi das Cruzes, SP
08745-420, Vila Jundiaí, Mogi das Cruzes, SP
08745-430, Vila Jundiaí, Mogi das Cruzes, SP
08745-440, Vila Jundiaí, Mogi das Cruzes, SP
08745-450, Vila Jundiaí, Mogi das Cruzes, SP
08745-460, Vila Jundiaí, Mogi das Cruzes, SP
08745-470, Vila Jundiaí, Mogi das Cruzes, SP
08745-480, Vila Jundiaí, Mogi das Cruzes, SP
08745-500, Vila Jundiaí, Mogi das Cruzes, SP
08745-520, Vila Jundiaí, Mogi das Cruzes, SP
08745-530, Vila Jundiaí, Mogi das Cruzes, SP
08745-540, Vila Jundiaí, Mogi das Cruzes, SP
08745-560, Vila Jundiaí, Mogi das Cruzes, SP
08745-570, Vila Jundiaí, Mogi das Cruzes, SP
08762-160, Jardim Santos Dumont II, Mogi das Cruzes, SP
08771-261, Cidade Parquelandia, Mogi das Cruzes, SP
08830-640, Jardim das Bandeiras, Mogi das Cruzes, SP
09060-110, Vila Valparaíso, Santo André, SP
09154-100, Vila Elclor, Santo André, SP
09169-159, Sítio dos Vianas, Santo André, SP
09210-760, Santa Terezinha, Santo André, SP
09370-180, Matriz, Mauá, SP
09751-080, Baeta Neves, São Bernardo do Campo, SP
09751-090, Baeta Neves, São Bernardo do Campo, SP
09912-120, Centro, Diadema, SP
09912-265, Conceição, Diadema, SP
11347-413, Jardim Rio Negro, São Vicente, SP
11454-530, Vila Áurea (Vicente de Carvalho), Guarujá, SP
11661-260, Balneário Forest, Caraguatatuba, SP
11661-670, Loteamento Balneário Camburi, Caraguatatuba, SP
11668-190, Jaraguá, Caraguatatuba, SP
